"","model","target_variable","target_end_date","location","value","location_name","population","geo_type","geo_value","abbreviation","full_location_name"
"362","Observed Data (JHU)","inc death",2021-04-03,"17",137,"Illinois",12671821,"state","il","IL","Illinois"
"363","Observed Data (JHU)","inc death",2021-04-10,"17",142,"Illinois",12671821,"state","il","IL","Illinois"
"364","Observed Data (JHU)","inc death",2021-04-17,"17",168,"Illinois",12671821,"state","il","IL","Illinois"
"365","Observed Data (JHU)","inc death",2021-04-24,"17",169,"Illinois",12671821,"state","il","IL","Illinois"
"366","Observed Data (JHU)","inc death",2021-05-01,"17",216,"Illinois",12671821,"state","il","IL","Illinois"
"367","Observed Data (JHU)","inc death",2021-05-08,"17",216,"Illinois",12671821,"state","il","IL","Illinois"
"368","Observed Data (JHU)","inc death",2021-05-15,"17",224,"Illinois",12671821,"state","il","IL","Illinois"
"369","Observed Data (JHU)","inc death",2021-05-22,"17",206,"Illinois",12671821,"state","il","IL","Illinois"
"370","Observed Data (JHU)","inc death",2021-05-29,"17",190,"Illinois",12671821,"state","il","IL","Illinois"
"371","Observed Data (JHU)","inc death",2021-06-05,"17",148,"Illinois",12671821,"state","il","IL","Illinois"
"372","Observed Data (JHU)","inc death",2021-06-12,"17",155,"Illinois",12671821,"state","il","IL","Illinois"
"373","Observed Data (JHU)","inc death",2021-06-19,"17",97,"Illinois",12671821,"state","il","IL","Illinois"
"374","Observed Data (JHU)","inc death",2021-06-26,"17",66,"Illinois",12671821,"state","il","IL","Illinois"
"375","Observed Data (JHU)","inc death",2021-07-03,"17",46,"Illinois",12671821,"state","il","IL","Illinois"
"376","Observed Data (JHU)","inc death",2021-07-10,"17",52,"Illinois",12671821,"state","il","IL","Illinois"
"377","Observed Data (JHU)","inc death",2021-07-17,"17",60,"Illinois",12671821,"state","il","IL","Illinois"
"378","Observed Data (JHU)","inc death",2021-07-24,"17",44,"Illinois",12671821,"state","il","IL","Illinois"
"379","Observed Data (JHU)","inc death",2020-10-10,"36",91,"New York",19453561,"state","ny","NY","New York"
"380","Observed Data (JHU)","inc death",2020-10-17,"36",81,"New York",19453561,"state","ny","NY","New York"
"381","Observed Data (JHU)","inc death",2020-10-24,"36",87,"New York",19453561,"state","ny","NY","New York"
"382","Observed Data (JHU)","inc death",2020-10-31,"36",96,"New York",19453561,"state","ny","NY","New York"
"383","Observed Data (JHU)","inc death",2020-11-07,"36",154,"New York",19453561,"state","ny","NY","New York"
"384","Observed Data (JHU)","inc death",2020-11-14,"36",126,"New York",19453561,"state","ny","NY","New York"
"385","Observed Data (JHU)","inc death",2020-11-21,"36",286,"New York",19453561,"state","ny","NY","New York"
"386","Observed Data (JHU)","inc death",2020-11-28,"36",230,"New York",19453561,"state","ny","NY","New York"
"387","Observed Data (JHU)","inc death",2020-12-05,"36",413,"New York",19453561,"state","ny","NY","New York"
"388","Observed Data (JHU)","inc death",2020-12-12,"36",565,"New York",19453561,"state","ny","NY","New York"
"389","Observed Data (JHU)","inc death",2020-12-19,"36",814,"New York",19453561,"state","ny","NY","New York"
"390","Observed Data (JHU)","inc death",2020-12-26,"36",968,"New York",19453561,"state","ny","NY","New York"
"391","Observed Data (JHU)","inc death",2021-01-02,"36",987,"New York",19453561,"state","ny","NY","New York"
"392","Observed Data (JHU)","inc death",2021-01-09,"36",1198,"New York",19453561,"state","ny","NY","New York"
"393","Observed Data (JHU)","inc death",2021-01-16,"36",1335,"New York",19453561,"state","ny","NY","New York"
"394","Observed Data (JHU)","inc death",2021-01-23,"36",1328,"New York",19453561,"state","ny","NY","New York"
"395","Observed Data (JHU)","inc death",2021-01-30,"36",1319,"New York",19453561,"state","ny","NY","New York"
"396","Observed Data (JHU)","inc death",2021-02-06,"36",1211,"New York",19453561,"state","ny","NY","New York"
"397","Observed Data (JHU)","inc death",2021-02-13,"36",1087,"New York",19453561,"state","ny","NY","New York"
"398","Observed Data (JHU)","inc death",2021-02-20,"36",952,"New York",19453561,"state","ny","NY","New York"
"399","Observed Data (JHU)","inc death",2021-02-27,"36",795,"New York",19453561,"state","ny","NY","New York"
"400","Observed Data (JHU)","inc death",2021-03-06,"36",749,"New York",19453561,"state","ny","NY","New York"
"401","Observed Data (JHU)","inc death",2021-03-13,"36",603,"New York",19453561,"state","ny","NY","New York"
"402","Observed Data (JHU)","inc death",2021-03-20,"36",551,"New York",19453561,"state","ny","NY","New York"
"403","Observed Data (JHU)","inc death",2021-03-27,"36",527,"New York",19453561,"state","ny","NY","New York"
"404","Observed Data (JHU)","inc death",2021-04-03,"36",623,"New York",19453561,"state","ny","NY","New York"
"405","Observed Data (JHU)","inc death",2021-04-10,"36",485,"New York",19453561,"state","ny","NY","New York"
"406","Observed Data (JHU)","inc death",2021-04-17,"36",501,"New York",19453561,"state","ny","NY","New York"
"407","Observed Data (JHU)","inc death",2021-04-24,"36",414,"New York",19453561,"state","ny","NY","New York"
"408","Observed Data (JHU)","inc death",2021-05-01,"36",358,"New York",19453561,"state","ny","NY","New York"
"409","Observed Data (JHU)","inc death",2021-05-08,"36",344,"New York",19453561,"state","ny","NY","New York"
"410","Observed Data (JHU)","inc death",2021-05-15,"36",261,"New York",19453561,"state","ny","NY","New York"
"411","Observed Data (JHU)","inc death",2021-05-22,"36",198,"New York",19453561,"state","ny","NY","New York"
"412","Observed Data (JHU)","inc death",2021-05-29,"36",157,"New York",19453561,"state","ny","NY","New York"
"413","Observed Data (JHU)","inc death",2021-06-05,"36",160,"New York",19453561,"state","ny","NY","New York"
"414","Observed Data (JHU)","inc death",2021-06-12,"36",110,"New York",19453561,"state","ny","NY","New York"
"415","Observed Data (JHU)","inc death",2021-06-19,"36",65,"New York",19453561,"state","ny","NY","New York"
"416","Observed Data (JHU)","inc death",2021-06-26,"36",45,"New York",19453561,"state","ny","NY","New York"
"417","Observed Data (JHU)","inc death",2021-07-03,"36",43,"New York",19453561,"state","ny","NY","New York"
"418","Observed Data (JHU)","inc death",2021-07-10,"36",41,"New York",19453561,"state","ny","NY","New York"
"419","Observed Data (JHU)","inc death",2021-07-17,"36",32,"New York",19453561,"state","ny","NY","New York"
"420","Observed Data (JHU)","inc death",2021-07-24,"36",39,"New York",19453561,"state","ny","NY","New York"
"421","Observed Data (JHU)","inc death",2020-10-10,"42",141,"Pennsylvania",12801989,"state","pa","PA","Pennsylvania"
"422","Observed Data (JHU)","inc death",2020-10-17,"42",121,"Pennsylvania",12801989,"state","pa","PA","Pennsylvania"
"423","Observed Data (JHU)","inc death",2020-10-24,"42",190,"Pennsylvania",12801989,"state","pa","PA","Pennsylvania"
"424","Observed Data (JHU)","inc death",2020-10-31,"42",161,"Pennsylvania",12801989,"state","pa","PA","Pennsylvania"
"425","Observed Data (JHU)","inc death",2020-11-07,"42",201,"Pennsylvania",12801989,"state","pa","PA","Pennsylvania"
"426","Observed Data (JHU)","inc death",2020-11-14,"42",256,"Pennsylvania",12801989,"state","pa","PA","Pennsylvania"
"427","Observed Data (JHU)","inc death",2020-11-21,"42",532,"Pennsylvania",12801989,"state","pa","PA","Pennsylvania"
"428","Observed Data (JHU)","inc death",2020-11-28,"42",466,"Pennsylvania",12801989,"state","pa","PA","Pennsylvania"
"429","Observed Data (JHU)","inc death",2020-12-05,"42",957,"Pennsylvania",12801989,"state","pa","PA","Pennsylvania"
"430","Observed Data (JHU)","inc death",2020-12-12,"42",1179,"Pennsylvania",12801989,"state","pa","PA","Pennsylvania"
"431","Observed Data (JHU)","inc death",2020-12-19,"42",1401,"Pennsylvania",12801989,"state","pa","PA","Pennsylvania"
"432","Observed Data (JHU)","inc death",2020-12-26,"42",1136,"Pennsylvania",12801989,"state","pa","PA","Pennsylvania"
"433","Observed Data (JHU)","inc death",2021-01-02,"42",1347,"Pennsylvania",12801989,"state","pa","PA","Pennsylvania"
"434","Observed Data (JHU)","inc death",2021-01-09,"42",1437,"Pennsylvania",12801989,"state","pa","PA","Pennsylvania"
"435","Observed Data (JHU)","inc death",2021-01-16,"42",1513,"Pennsylvania",12801989,"state","pa","PA","Pennsylvania"
"436","Observed Data (JHU)","inc death",2021-01-23,"42",1304,"Pennsylvania",12801989,"state","pa","PA","Pennsylvania"
"437","Observed Data (JHU)","inc death",2021-01-30,"42",1071,"Pennsylvania",12801989,"state","pa","PA","Pennsylvania"
"438","Observed Data (JHU)","inc death",2021-02-06,"42",798,"Pennsylvania",12801989,"state","pa","PA","Pennsylvania"
"439","Observed Data (JHU)","inc death",2021-02-13,"42",674,"Pennsylvania",12801989,"state","pa","PA","Pennsylvania"
"440","Observed Data (JHU)","inc death",2021-02-20,"42",495,"Pennsylvania",12801989,"state","pa","PA","Pennsylvania"
"441","Observed Data (JHU)","inc death",2021-02-27,"42",357,"Pennsylvania",12801989,"state","pa","PA","Pennsylvania"
"442","Observed Data (JHU)","inc death",2021-03-06,"42",405,"Pennsylvania",12801989,"state","pa","PA","Pennsylvania"
"443","Observed Data (JHU)","inc death",2021-03-13,"42",199,"Pennsylvania",12801989,"state","pa","PA","Pennsylvania"
"444","Observed Data (JHU)","inc death",2021-03-20,"42",276,"Pennsylvania",12801989,"state","pa","PA","Pennsylvania"
"445","Observed Data (JHU)","inc death",2021-03-27,"42",170,"Pennsylvania",12801989,"state","pa","PA","Pennsylvania"
"446","Observed Data (JHU)","inc death",2021-04-03,"42",208,"Pennsylvania",12801989,"state","pa","PA","Pennsylvania"
"447","Observed Data (JHU)","inc death",2021-04-10,"42",225,"Pennsylvania",12801989,"state","pa","PA","Pennsylvania"
"448","Observed Data (JHU)","inc death",2021-04-17,"42",261,"Pennsylvania",12801989,"state","pa","PA","Pennsylvania"
"449","Observed Data (JHU)","inc death",2021-04-24,"42",316,"Pennsylvania",12801989,"state","pa","PA","Pennsylvania"
"450","Observed Data (JHU)","inc death",2021-05-01,"42",257,"Pennsylvania",12801989,"state","pa","PA","Pennsylvania"
"451","Observed Data (JHU)","inc death",2021-05-08,"42",262,"Pennsylvania",12801989,"state","pa","PA","Pennsylvania"
"452","Observed Data (JHU)","inc death",2021-05-15,"42",226,"Pennsylvania",12801989,"state","pa","PA","Pennsylvania"
"453","Observed Data (JHU)","inc death",2021-05-22,"42",268,"Pennsylvania",12801989,"state","pa","PA","Pennsylvania"
"454","Observed Data (JHU)","inc death",2021-05-29,"42",208,"Pennsylvania",12801989,"state","pa","PA","Pennsylvania"
"455","Observed Data (JHU)","inc death",2021-06-05,"42",140,"Pennsylvania",12801989,"state","pa","PA","Pennsylvania"
"456","Observed Data (JHU)","inc death",2021-06-12,"42",122,"Pennsylvania",12801989,"state","pa","PA","Pennsylvania"
"457","Observed Data (JHU)","inc death",2021-06-19,"42",94,"Pennsylvania",12801989,"state","pa","PA","Pennsylvania"
"458","Observed Data (JHU)","inc death",2021-06-26,"42",83,"Pennsylvania",12801989,"state","pa","PA","Pennsylvania"
"459","Observed Data (JHU)","inc death",2021-07-03,"42",62,"Pennsylvania",12801989,"state","pa","PA","Pennsylvania"
"460","Observed Data (JHU)","inc death",2021-07-10,"42",39,"Pennsylvania",12801989,"state","pa","PA","Pennsylvania"
"461","Observed Data (JHU)","inc death",2021-07-17,"42",47,"Pennsylvania",12801989,"state","pa","PA","Pennsylvania"
"462","Observed Data (JHU)","inc death",2021-07-24,"42",33,"Pennsylvania",12801989,"state","pa","PA","Pennsylvania"
"463","Observed Data (JHU)","inc death",2020-10-10,"48",637,"Texas",28995881,"state","tx","TX","Texas"
"464","Observed Data (JHU)","inc death",2020-10-17,"48",515,"Texas",28995881,"state","tx","TX","Texas"
"465","Observed Data (JHU)","inc death",2020-10-24,"48",491,"Texas",28995881,"state","tx","TX","Texas"
"466","Observed Data (JHU)","inc death",2020-10-31,"48",574,"Texas",28995881,"state","tx","TX","Texas"
"467","Observed Data (JHU)","inc death",2020-11-07,"48",701,"Texas",28995881,"state","tx","TX","Texas"
"468","Observed Data (JHU)","inc death",2020-11-14,"48",794,"Texas",28995881,"state","tx","TX","Texas"
"469","Observed Data (JHU)","inc death",2020-11-21,"48",966,"Texas",28995881,"state","tx","TX","Texas"
"470","Observed Data (JHU)","inc death",2020-11-28,"48",881,"Texas",28995881,"state","tx","TX","Texas"
"471","Observed Data (JHU)","inc death",2020-12-05,"48",1223,"Texas",28995881,"state","tx","TX","Texas"
"472","Observed Data (JHU)","inc death",2020-12-12,"48",1189,"Texas",28995881,"state","tx","TX","Texas"
"473","Observed Data (JHU)","inc death",2020-12-19,"48",1378,"Texas",28995881,"state","tx","TX","Texas"
"474","Observed Data (JHU)","inc death",2020-12-26,"48",1155,"Texas",28995881,"state","tx","TX","Texas"
"475","Observed Data (JHU)","inc death",2021-01-02,"48",1367,"Texas",28995881,"state","tx","TX","Texas"
"476","Observed Data (JHU)","inc death",2021-01-09,"48",1871,"Texas",28995881,"state","tx","TX","Texas"
"477","Observed Data (JHU)","inc death",2021-01-16,"48",2115,"Texas",28995881,"state","tx","TX","Texas"
"478","Observed Data (JHU)","inc death",2021-01-23,"48",2297,"Texas",28995881,"state","tx","TX","Texas"
"479","Observed Data (JHU)","inc death",2021-01-30,"48",2199,"Texas",28995881,"state","tx","TX","Texas"
"480","Observed Data (JHU)","inc death",2021-02-06,"48",2258,"Texas",28995881,"state","tx","TX","Texas"
"481","Observed Data (JHU)","inc death",2021-02-13,"48",1967,"Texas",28995881,"state","tx","TX","Texas"
"482","Observed Data (JHU)","inc death",2021-02-20,"48",892,"Texas",28995881,"state","tx","TX","Texas"
"483","Observed Data (JHU)","inc death",2021-02-27,"48",1478,"Texas",28995881,"state","tx","TX","Texas"
"484","Observed Data (JHU)","inc death",2021-03-06,"48",1730,"Texas",28995881,"state","tx","TX","Texas"
"485","Observed Data (JHU)","inc death",2021-03-13,"48",1117,"Texas",28995881,"state","tx","TX","Texas"
"486","Observed Data (JHU)","inc death",2021-03-20,"48",932,"Texas",28995881,"state","tx","TX","Texas"
"487","Observed Data (JHU)","inc death",2021-03-27,"48",741,"Texas",28995881,"state","tx","TX","Texas"
"488","Observed Data (JHU)","inc death",2021-04-03,"48",637,"Texas",28995881,"state","tx","TX","Texas"
"489","Observed Data (JHU)","inc death",2021-04-10,"48",512,"Texas",28995881,"state","tx","TX","Texas"
"490","Observed Data (JHU)","inc death",2021-04-17,"48",374,"Texas",28995881,"state","tx","TX","Texas"
"491","Observed Data (JHU)","inc death",2021-04-24,"48",359,"Texas",28995881,"state","tx","TX","Texas"
"492","Observed Data (JHU)","inc death",2021-05-01,"48",353,"Texas",28995881,"state","tx","TX","Texas"
"493","Observed Data (JHU)","inc death",2021-05-08,"48",352,"Texas",28995881,"state","tx","TX","Texas"
"494","Observed Data (JHU)","inc death",2021-05-15,"48",314,"Texas",28995881,"state","tx","TX","Texas"
"495","Observed Data (JHU)","inc death",2021-05-22,"48",269,"Texas",28995881,"state","tx","TX","Texas"
"496","Observed Data (JHU)","inc death",2021-05-29,"48",282,"Texas",28995881,"state","tx","TX","Texas"
"497","Observed Data (JHU)","inc death",2021-06-05,"48",210,"Texas",28995881,"state","tx","TX","Texas"
"498","Observed Data (JHU)","inc death",2021-06-12,"48",211,"Texas",28995881,"state","tx","TX","Texas"
"499","Observed Data (JHU)","inc death",2021-06-19,"48",186,"Texas",28995881,"state","tx","TX","Texas"
"500","Observed Data (JHU)","inc death",2021-06-26,"48",167,"Texas",28995881,"state","tx","TX","Texas"
"501","Observed Data (JHU)","inc death",2021-07-03,"48",208,"Texas",28995881,"state","tx","TX","Texas"
"502","Observed Data (JHU)","inc death",2021-07-10,"48",151,"Texas",28995881,"state","tx","TX","Texas"
"503","Observed Data (JHU)","inc death",2021-07-17,"48",192,"Texas",28995881,"state","tx","TX","Texas"
"504","Observed Data (JHU)","inc death",2021-07-24,"48",190,"Texas",28995881,"state","tx","TX","Texas"
